漢字,音読み,訓読み,画数,習う学年
小,ショウ,ちい(さい)・こ・お,3画,1年
山,サン,やま,3画,1年
川,―,かわ,3画,1年
土,ド・ト,つち,3画,1年
夕,―,ゆう,3画,1年
口,コウ・ク,くち,3画,1年
万,マン,―,3画,2年
才,サイ,―,3画,2年
弓,―,ゆみ,3画,2年
丸,ガン,まる・まる(い)・まる(める),3画,2年
工,コウ・ク,―,3画,2年
士,シ,―,3画,5年
久,キュウ,ひさ(しい),3画,5年
亡,ボウ,―,3画,6年
寸,スン,―,3画,6年
己,コ,―,3画,6年
干,カン,ほ(す),3画,6年
五,ゴ,いつ・いつ(つ),4画,1年
六,ロク,むっ(つ)・むい・む・む(つ),4画,1年
月,ガツ・ゲツ,つき,4画,1年
火,カ,ひ,4画,1年
水,スイ,みず,4画,1年
木,モク・ボク,き・こ,4画,1年
日,ニチ・ジツ,ひ・か,4画,1年
円,エン,まる(い),4画,1年
天,テン,あま,4画,1年
文,ブン・モン,―,4画,1年
中,チュウ・ジュウ,なか,4画,1年
王,オウ,―,4画,1年
犬,ケン,いぬ,4画,1年
手,シュ,て,4画,1年
方,ホウ,かた,4画,2年
止,シ,と(まる)・と(める),4画,2年
今,コン,いま,4画,2年
公,コウ,―,4画,2年
切,セツ,き(る)・き(れる),4画,2年
分,ブン・フン・ブ,わ(かる)・わ(ける)・わ(かれる)・わ(かつ),4画,2年
元,ゲン・ガン,もと,4画,2年
内,ナイ,うち,4画,2年
午,ゴ,―,4画,2年
太,タ・タイ,ふと(い)・ふと(る),4画,2年
友,ユウ,とも,4画,2年
少,ショウ,すく(ない)・すこ(し),4画,2年
引,イン,ひ(く)・ひ(ける),4画,2年
心,シン,こころ,4画,2年
戸,コ,と,4画,2年
毛,モウ,け,4画,2年
牛,ギュウ,うし,4画,2年
父,フ,ちち,4画,2年
予,ヨ,―,4画,3年
反,ハン,そ(る),4画,3年
区,ク,―,4画,3年
化,カ,ば(ける)・ば(かす),4画,3年
夫,フ,おっと,4画,4年
不,フ・ブ,―,4画,4年
氏,シ,―,4画,4年
欠,ケツ,か(ける)・か(く),4画,4年
井,―,い,4画,4年
仏,ブツ,ほとけ,4画,5年
比,ヒ,くら(べる),4画,5年
支,シ,ささ(える),4画,5年
片,―,かた,4画,6年
仁,ジン,―,4画,6年
収,シュウ,おさ(まる)・おさ(める),4画,6年
尺,シャク,―,4画,6年
四,シ,よん・よっ(つ)・よ(つ)・よ,5画,1年
生,セイ・ショウ,い(きる)・い(ける)・い(かす)・なま・う(まれる)・う(む)・は(える)・は(やす),5画,1年
本,ホン,もと,5画,1年
右,ウ・ユウ,みぎ,5画,1年
左,サ,ひだり,5画,1年
白,ハク,しろ・しろ(い)・しら,5画,1年
正,セイ・ショウ,ただ(しい)・まさ・ただ(す),5画,1年
田,デン,た,5画,1年
目,モク,め,5画,1年
立,リツ,た(つ)・た(てる),5画,1年
出,シュツ,で(る)・だ(す),5画,1年
玉,ギョク,たま,5画,1年
石,セキ・シャク,いし,5画,1年
母,ボ,はは,5画,2年
兄,キョウ,あに,5画,2年
冬,トウ,ふゆ,5画,2年
古,コ,ふる(い)・ふる(す),5画,2年
台,ダイ・タイ,―,5画,2年
外,ガイ,そと・ほか・はず(す)・はず(れる),5画,2年
北,ホク,きた,5画,2年
市,シ,いち,5画,2年
半,ハン,なか(ば),5画,2年
広,コウ,ひろ(い)・ひろ(がる)・ひろ(める)・ひろ(まる)・ひろ(げる),5画,2年
用,ヨウ,もち(いる),5画,2年
矢,―,や,5画,2年
礼,レイ,―,5画,3年
由,ユ・ユウ,―,5画,3年
平,ヘイ・ビョウ,ひら・たい(ら),5画,3年
氷,ヒョウ,こおり,5画,3年
皮,ヒ,かわ,5画,3年
代,ダイ・タイ,か(わる)・か(える)・よ,5画,3年
打,ダ,う(つ),5画,3年
他,タ,ほか,5画,3年
世,セ・セイ,よ,5画,3年
申,―,もう(す),5画,3年
主,シュ,おも・ぬし,5画,3年
写,シャ,うつ(す)・うつ(る),5画,3年
仕,シ,つか(える),5画,3年
皿,―,さら,5画,3年
号,ゴウ,―,5画,3年
去,キョ・コ,さ(る),5画,3年
央,オウ,―,5画,3年
令,レイ,―,5画,4年
民,ミン,―,5画,4年
未,ミ,―,5画,4年
末,マツ,すえ,5画,4年
包,ホウ,つつ(む),5画,4年
辺,ヘン,あた(り)・べ,5画,4年
付,フ,つ(く)・つ(ける),5画,4年
必,ヒツ,かなら(ず),5画,4年
失,シツ,うしな(う),5画,4年
司,シ,―,5画,4年
札,サツ,ふだ,5画,4年
功,コウ,―,5画,4年
加,カ,くわ(える)・くわ(わる),5画,4年
以,イ,―,5画,4年
弁,ベン,―,5画,5年
布,フ,ぬの,5画,5年
犯,ハン,―,5画,5年
示,ジ,しめ(す),5画,5年
史,シ,―,5画,5年
句,ク,―,5画,5年
旧,キュウ,―,5画,5年
刊,カン,―,5画,5年
可,カ,―,5画,5年
永,エイ,なが(い),5画,5年
圧,アツ,―,5画,5年
幼,ヨウ,おさな(い),5画,6年
庁,チョウ,―,5画,6年
処,ショ,―,5画,6年
冊,サツ,―,5画,6年
穴,―,あな,5画,6年
百,ヒャク,―,6画,1年
名,メイ・ミョウ,な,6画,1年
休,キュウ,やす(む)・やす(まる)・やす(める),6画,1年
先,セン,さき,6画,1年
気,キ・ケ,―,6画,1年
字,ジ,―,6画,1年
年,ネン,とし,6画,1年
早,ソウ,はや(い)・はや(める)・はや(まる),6画,1年
竹,チク,たけ,6画,1年
虫,チュウ,むし,6画,1年
糸,シ,いと,6画,1年
耳,―,みみ,6画,1年
合,ゴウ・ガッ・カッ,あ(う)・あ(わせる)・あ(わす),6画,2年
同,ドウ,おな(じ),6画,2年
会,カイ,あ(う),6画,2年
行,ギョウ・コウ,い(く)・ゆ(く)・おこな(う),6画,2年
羽,―,はね・は,6画,2年
光,コウ,ひかり・ひか(る),6画,2年
色,ショク・シキ,いろ,6画,2年
多,タ,おお(い),6画,2年
寺,ジ,てら,6画,2年
当,トウ,あ(たる)・あ(てる),6画,2年
池,チ,いけ,6画,2年
回,カイ,まわ(る)・まわ(す),6画,2年
地,チ・ジ,―,6画,2年
毎,マイ,―,6画,2年
考,コウ,かんが(える),6画,2年
米,マイ・ベイ,こめ,6画,2年
肉,ニク,―,6画,2年
交,コウ,まじ(わる)・まじ(える)・ま(じる)・ま(ぜる)・ま(ざる),6画,2年
自,ジ・シ,むずか(ら),6画,2年
西,セイ・サイ,にし,6画,2年
列,レツ,―,6画,3年
両,リョウ,―,6画,3年
羊,ヨウ,ひつじ,6画,3年
有,ユウ,あ(る),6画,3年
全,ゼン,すべ(て)・まった(く),6画,3年
州,シュウ,―,6画,3年
守,シュ・ス,まも(る),6画,3年
式,シキ,―,6画,3年
次,ジ,つぎ・つ(ぐ),6画,3年
死,シ,し(ぬ),6画,3年
向,コウ,む(かう)・む(ける)・む(く)・む(こう),6画,3年
血,ケツ,ち,6画,3年
曲,キョク,ま(がる)・ま(げる),6画,3年
安,アン,やす(い),6画,3年
老,ロウ,お(いる),6画,4年
灯,トウ,―,6画,4年
伝,デン,つた(える)・つた(わる)・つた(う),6画,4年
兆,チョウ,―,6画,4年
仲,―,なか,6画,4年
争,ソウ,あらそ(う),6画,4年
成,セイ,な(す)・な(る),6画,4年
好,コウ,す(く)・この(む),6画,4年
共,キョウ,とも,6画,4年
各,カク,―,6画,4年
印,イン,しるし,6画,4年
衣,イ,ころも,6画,4年
任,ニン,まか(す)・まか(せる),6画,5年
団,ダン,―,6画,5年
在,ザイ,あ(る),6画,5年
再,サイ・サ,ふたた(び),6画,5年
件,ケン,―,6画,5年
仮,カ,かり,6画,5年
因,イン,―,6画,5年
宅,タク,ー,6画,6年
存,ソン・ゾン,―,6画,6年
舌,―,した,6画,6年
至,シ,いた(る),6画,6年
后,コウ,―,6画,6年
吸,キュウ,す(う),6画,6年
机,―,つくえ,6画,6年
危,キ,あぶ(ない),6画,6年
灰,―,はい,6画,6年
宇,ウ,ー,6画,6年
花,カ,はな,7画,1年
男,ダン・ナン,おとこ,7画,1年
町,チョウ,まち,7画,1年
赤,セキ,あか・あか(い)・あか(らむ)・あか(らめる),7画,1年
見,ケン,み(る)・み(える)・み(せる),7画,1年
貝,―,かい,7画,1年
足,ソク,あし・た(す)・た(りる)・た(る),7画,1年
車,シャ,くるま,7画,1年
村,ソン,むら,7画,1年
声,セイ,こえ,7画,2年
体,タイ,からだ,7画,2年
走,ソウ,はし(る),7画,2年
里,リ,さと,7画,2年
形,ケイ・ギョウ,かた・かたち,7画,2年
図,ズ・ト,―,7画,2年
売,バイ,う(る)・う(れる),7画,2年
弟,ダイ,おとうと,7画,2年
何,―,なに・なん,7画,2年
作,サク・サ,つく(る),7画,2年
角,カク,かど・つの,7画,2年
汽,キ,―,7画,2年
近,キン,ちか(い),7画,2年
来,ライ,く(る),7画,2年
社,シャ,やしろ,7画,2年
言,ゲン・ゴン,い(う)・こと,7画,2年
谷,―,たに,7画,2年
麦,―,むぎ,7画,2年
役,ヤク,―,7画,3年
返,ヘン,かえ(す)・かえ(る),7画,3年
豆,トウ・ズ,まめ,7画,3年
投,トウ,な(げる),7画,3年
対,タイ,―,7画,3年
身,シン,み,7画,3年
助,ジョ,たす(ける)・たす(かる),7画,3年
住,ジュウ,す(む)・す(まう),7画,3年
坂,―,さか,7画,3年
決,ケツ,き(める)・き(まる),7画,3年
君,クン,きみ,7画,3年
局,キョク,―,7画,3年
究,キュウ,―,7画,3年
医,イ,―,7画,3年
労,ロウ,―,7画,4年
冷,レイ,つめ(たい)・ひ(える)・ひ(やす)・ひ(や)・ひ(やかす)・さ(める)・さ(ます),7画,4年
良,リョウ,よ(い),7画,4年
利,リ,―,7画,4年
別,ベツ,わか(れる),7画,4年
兵,ヘイ・ヒョウ,―,7画,4年
努,ド,つと(める),7画,4年
低,テイ,ひく(い)・ひく(まる)・ひく(める),7画,4年
束,ソク,たば,7画,4年
折,セツ,お(る)・お(れる)・おり,7画,4年
臣,ジン・シン,―,7画,4年
初,ショ,はつ・はじ(め)・はじ(めて),7画,4年
児,ジ,―,7画,4年
阪,―,―,7画,4年
材,ザイ,―,7画,4年
佐,サ,―,7画,4年
